"Work item ID","Work type","Summary","Description","Parent","Status","Priority","Story point estimate","Sprint","Labels","Labels","Labels","Labels","Labels","Component","Responsable sugerido","Start date","Due date","SRS trace"
"204","Task","Validar modelo MySQL y diagramas de secuencia","Implementar las tablas Usuarios, Registros, Fotos y Bitacora_Administrativa; agregar solo extensiones exigidas por el SRS y corregir el hash de contraseña. Aceptación: SQL MySQL 8 consistente con el diagrama definitivo.","100","Finalizada","Highest","1","","dogalert","design","completed","mvp","","Data / MySQL","Jazmín / Eliab","2026-08-26","2026-09-05","DiagramaBD_DogAlert.drawio; sección 17"
"206","Story","Consultar contenido público sin cuenta","Como visitante quiero consultar mapa, reportes verificados y protocolos sin iniciar sesión. Aceptación: el acceso no solicita datos personales y nunca expone información privada.","101","To Do","High","1","","dogalert","story","development","sprint-development-1","mvp","Mobile","Paco","2026-09-06","2026-09-18","RF-001; CU-01 a CU-03; HU-06"
"207","Story","Crear cuenta de persona adulta","Como persona adulta quiero registrarme con correo y contraseña. Aceptación: exige confirmación de mayoría de edad, aviso de privacidad y validación de correo.","101","To Do","Highest","2","","dogalert","story","development","sprint-development-1","mvp","Mobile","Isabella / Paco","2026-09-06","2026-09-18","RF-003; HU-02; RNF-PRI-02"
"208","Story","Iniciar y cerrar sesión","Como usuario registrado quiero iniciar y cerrar sesión con correo y contraseña. Aceptación: Spring Boot verifica el hash, emite un JWT propio, la app usa SecureStorage y elimina el token al cerrar sesión.","101","To Do","Highest","2","","dogalert","development","sprint-development-2","mvp","","Backend / API","Isabella","2026-09-19","2026-10-02","RF-004; CU-06; RNF-SEG-02; HU-02"
"209","Story","Aplicar roles y navegación autorizada","Como sistema quiero distinguir acceso anónimo, usuario registrado y administrador. Aceptación: las funciones administrativas se ocultan y bloquean para roles no autorizados.","101","To Do","Highest","1","","dogalert","story","development","sprint-development-1","mvp","Security","Isabella / Jazmín","2026-09-06","2026-09-18","RF-005; RNF-PLAT-02; RNF-SEG-03"
"210","Story","Registrar consentimiento de contacto","Como usuario registrado quiero decidir si un administrador puede contactarme. Aceptación: la casilla es opcional, el teléfono es opcional y solo es visible con consentimiento vigente.","101","To Do","High","1","","dogalert","story","development","sprint-development-1","mvp","Mobile","Paco / Jazmín","2026-09-06","2026-09-18","RF-006; HU-10; RNF-PRI-03"
"212","Story","Mostrar filtro y aviso de seguridad antes de reportar","Como reportante quiero confirmar que no hay responsable visible y recibir indicaciones de seguridad. Aceptación: la app indica no acercarse ni capturar; si hay responsable visible, explica que no corresponde reportar.","102","To Do","Highest","1","","dogalert","development","sprint-development-2","mvp","","Mobile","Paco / Santiago","2026-09-19","2026-10-02","RF-007; RF-046; R03; R06"
"213","Story","Capturar tipo, gravedad y certeza","Como reportante quiero clasificar el evento. Aceptación: tipo, gravedad y certeza son campos independientes con los catálogos completos y opción Otro cuando aplica.","102","To Do","High","2","","dogalert","story","development","sprint-development-1","mvp","Reporting","Eliab / Paco","2026-09-06","2026-09-18","RF-008; RF-009; RF-011; HU-03"
"214","Story","Capturar características obligatorias del reporte","Como reportante quiero registrar fecha, hora, cantidad, tamaño, color, collar y descripción. Aceptación: no permite envío incompleto y tamaño, color y collar admiten No se pudo determinar.","102","To Do","Highest","2","","dogalert","development","sprint-development-2","mvp","","Reporting","Eliab / Paco","2026-09-19","2026-10-02","RF-010; HU-03"
"215","Story","Capturar ubicación por GPS o mapa manual","Como reportante quiero usar GPS o elegir un punto en el mapa. Aceptación: solicita permiso, ofrece alternativa manual y conserva la coordenada original como confidencial.","102","To Do","Highest","2","","dogalert","story","development","sprint-development-1","mvp","Maps","Paco","2026-09-06","2026-09-18","RF-014; RNF-PRI-04; R07"
"216","Story","Adjuntar fotografía opcional y procesar metadatos","Como reportante quiero adjuntar foto desde cámara o galería sin ponerme en riesgo. Aceptación: es opcional, se comprime a máximo 1 MB, metadatos solo se usan como señal auxiliar y se almacena en Fotos.Foto de MySQL.","102","To Do","High","2","","dogalert","development","sprint-development-2","mvp","","Reporting","Paco / Eliab","2026-09-19","2026-10-02","RF-012; RF-013; RNF-REN-05; R14; DiagramaBD"
"217","Story","Validar fecha del evento","Como sistema quiero rechazar fechas anteriores al lanzamiento o futuras. Aceptación: la validación funciona online y offline y muestra un mensaje claro.","102","To Do","High","1","","dogalert","story","development","sprint-development-1","mvp","Reporting","Eliab","2026-09-06","2026-09-18","RF-015; RNF-USA-04"
"218","Story","Enviar reporte anónimo","Como persona sin cuenta quiero reportar sin dar nombre, correo o teléfono. Aceptación: crea un reporte Pendiente, no asocia PII y avisa que no podrá editarse ni eliminarse.","102","To Do","Highest","2","","dogalert","story","development","sprint-development-1","mvp","Reporting","Eliab / Paco","2026-09-06","2026-09-18","RF-002; RF-020; RF-027; HU-01"
"219","Story","Gestionar reportes propios","Como usuario registrado quiero consultar, editar o eliminar mis reportes. Aceptación: muestra cualquier estado; una edición verificada vuelve a Pendiente; eliminar borra el contenido y conserva solo evidencia técnica mínima.","102","To Do","Highest","1","","dogalert","story","development","sprint-development-1","mvp","Reporting","Eliab / Paco","2026-09-06","2026-09-18","RF-024 a RF-026; HU-05"
"220","Story","Guardar reportes en una cola offline cifrada","Como reportante sin conexión quiero guardar el formulario localmente. Aceptación: persiste todos los campos de forma cifrada y sobrevive al cierre y reapertura de la app.","103","To Do","Highest","3","","dogalert","development","sprint-development-2","mvp","","Offline Sync","Santiago / Eliab","2026-09-19","2026-10-02","RF-016; HU-04; RNF-SEG-06"
"221","Story","Mostrar estados locales de sincronización","Como reportante quiero conocer el estado de cada envío offline. Aceptación: muestra Guardado localmente, Pendiente, Sincronizando, Error o Sincronizado con mensajes comprensibles.","103","To Do","High","2","","dogalert","story","development","sprint-development-1","mvp","Offline Sync","Santiago / Paco","2026-09-06","2026-09-18","RF-017; RNF-USA-04"
"222","Story","Sincronizar automáticamente al recuperar red","Como reportante quiero que mis reportes se envíen al volver una conexión estable. Aceptación: reintenta de forma controlada y un reporte de texto se sincroniza en máximo 3 segundos bajo la prueba definida.","103","To Do","Highest","3","","dogalert","development","sprint-development-2","mvp","","Offline Sync","Santiago / Eliab","2026-09-19","2026-10-02","RF-018; RNF-REN-02"
"223","Story","Garantizar sincronización idempotente","Como sistema quiero evitar reportes duplicados por reintentos. Aceptación: un UUID estable produce un único reporte aun con cierres, interrupciones y reintentos.","103","To Do","Highest","3","","dogalert","story","development","sprint-development-1","mvp","Backend / API","Eliab / Santiago","2026-09-06","2026-09-18","RF-019; RNF-CON-01; R05"
"224","Task","Probar resiliencia offline de extremo a extremo","Ejecutar casos de cierre, reapertura, recuperación de red, reintento, error y ausencia de doble envío. Aceptación: evidencias vinculadas y cero pérdidas o duplicados.","103","To Do","Highest","2","","dogalert","development","sprint-development-2","mvp","","QA / Docs","Santiago","2026-09-19","2026-10-02","Sección 8.2; RNF-CON-01"
"225","Story","Separar coordenadas exactas y públicas","Como sistema quiero almacenar la coordenada exacta de forma privada y generar una representación aproximada pública. Aceptación: ningún endpoint ni registro público revela el punto exacto.","104","To Do","Highest","3","","dogalert","development","sprint-development-2","mvp","","Maps","Paco / Jazmín","2026-09-19","2026-10-02","RF-032; RF-033; RNF-PRI-04; R04"
"226","Story","Consultar mapa público de reportes verificados","Como visitante quiero ver reportes verificados en un mapa aproximado. Aceptación: Pendientes, Rechazados, Duplicados y Archivados no aparecen públicamente.","104","To Do","Highest","2","","dogalert","development","sprint-development-2","mvp","","Maps","Paco","2026-09-19","2026-10-02","RF-031; CU-01; HU-06"
"227","Story","Visualizar mapa de calor de cinco años","Como visitante quiero visualizar concentraciones de reportes verificados. Aceptación: agrupa por áreas de 150 m, respeta privacidad y responde en menos de 2 segundos para el volumen del MVP.","104","To Do","High","3","","dogalert","development","sprint-development-2","mvp","","Maps","Paco / Jazmín","2026-09-19","2026-10-02","RF-032; HU-07; RNF-REN-04"
"228","Story","Filtrar el mapa público","Como visitante quiero filtrar por fechas, tipo y gravedad. Aceptación: los filtros combinados actualizan marcadores y mapa de calor con resultados consistentes.","104","To Do","High","2","","dogalert","development","sprint-development-2","mvp","","Maps","Paco","2026-09-19","2026-10-02","RF-034; CU-02; HU-07"
"229","Story","Advertir sobre zonas sin reportes","Como visitante quiero entender que ausencia de reportes no equivale a seguridad. Aceptación: el aviso aparece en mapa, mapa de calor y exportaciones públicas pertinentes.","104","To Do","High","1","","dogalert","development","sprint-development-2","mvp","","Maps","Jazmín / Paco","2026-09-19","2026-10-02","RF-035; R09"
"230","Story","Separar reportes externos a Creel","Como analista quiero ver reportes externos sin mezclarlos con estadísticas oficiales de Creel. Aceptación: quedan etiquetados y son excluidos de todos los KPI oficiales.","104","To Do","High","2","","dogalert","development","sprint-development-2","mvp","","Data / MySQL","Jazmín / Eliab","2026-09-19","2026-10-02","RF-036; sección 1.6"
"231","Story","Consultar bandeja de moderación","Como administrador quiero revisar reportes y su evidencia. Aceptación: lista y detalle incluyen datos autorizados, coordenada exacta, foto y señales disponibles solo con rol administrador.","105","To Do","Highest","2","","dogalert","development","sprint-development-2","mvp","","Moderation","Eliab / Isabella","2026-09-19","2026-10-02","RF-022; RF-033; CU-13; CU-15"
"232","Story","Gestionar estados y motivos de moderación","Como administrador quiero asignar Verificado, Rechazado, Duplicado o Archivado. Aceptación: cada transición exige motivo, autor y fecha; el reporte sincronizado inicia Pendiente.","105","To Do","Highest","2","","dogalert","development","sprint-development-2","mvp","","Moderation","Eliab","2026-09-19","2026-10-02","RF-020; RF-021; HU-08"
"233","Story","Aplicar lista de verificación de evidencia","Como administrador quiero revisar coherencia, completitud, contenido impropio, falsedad y duplicación. Aceptación: foto no obligatoria y la cantidad de reportes no verifica por sí sola.","105","To Do","Highest","2","","dogalert","development","sprint-development-2","mvp","","Moderation","Eliab / Isabella","2026-09-19","2026-10-02","RF-022; RF-023; R02"
"234","Story","Detectar posibles coincidencias","Como administrador quiero recibir candidatos generados por proximidad temporal, espacial y descriptiva. Aceptación: marca candidatos dentro de 10 minutos y 100 metros cuando las características coinciden, sin decidir automáticamente.","105","To Do","Highest","3","","dogalert","development","sprint-development-2","mvp","","Backend / API","Eliab","2026-09-19","2026-10-02","RF-028; HU-09"
"235","Story","Distinguir duplicados de corroboraciones","Como administrador quiero conservar observaciones independientes y separar reenvíos repetidos. Aceptación: coincidencias independientes pueden relacionarse; archivo o contenido idéntico se marca duplicado.","105","To Do","Highest","2","","dogalert","development","sprint-development-2","mvp","","Moderation","Eliab / Isabella","2026-09-19","2026-10-02","RF-029; RF-030; HU-09"
"236","Task","Completar bitácora de moderación y exportaciones","Registrar creación, cambio de estado, motivo, relación de coincidencias y actor. Aceptación: la bitácora es consultable por administradores y no puede alterarse desde la app.","105","To Do","High","2","","dogalert","development","sprint-development-2","mvp","","Moderation","Isabella / Jazmín","2026-09-19","2026-10-02","RF-043; CU-18"
"237","Story","Consultar panel administrativo móvil","Como administrador quiero ver listado, fecha, hora, ubicación, tipo, gravedad, cantidad, estado y evidencia. Aceptación: solo usuarios autorizados acceden a datos privados.","106","To Do","Highest","2","","dogalert","development","sprint-development-2","mvp","","Analytics","Jazmín / Paco","2026-09-19","2026-10-02","RF-037; HU-11"
"238","Story","Filtrar datos administrativos","Como administrador quiero filtrar por fechas, tipo, gravedad, estado y pertenencia a Creel. Aceptación: filtros combinados producen la misma población en panel y exportación.","106","To Do","High","1","","dogalert","development","sprint-development-2","mvp","","Analytics","Jazmín / Paco","2026-09-19","2026-10-02","RF-038; HU-11"
"239","Story","Calcular indicadores de reportes verificados","Como administrador quiero medir avistamientos, incidentes, perros observados, distribución, tendencia y cobertura. Aceptación: solo usa Verificados y excluye reportes externos en KPI oficiales.","106","To Do","Highest","2","","dogalert","development","sprint-development-2","mvp","","Analytics","Jazmín / Eliab","2026-09-19","2026-10-02","RF-039; sección 10"
"240","Story","Etiquetar estimaciones de perros únicos","Como analista quiero evitar presentar una estimación como conteo exacto. Aceptación: toda estimación muestra método, incertidumbre y etiqueta aproximada.","106","To Do","High","1","","dogalert","development","sprint-development-2","mvp","","Analytics","Jazmín","2026-09-19","2026-10-02","RF-040"
"241","Story","Exportar datos a CSV y XLSX","Como administrador quiero descargar datos autorizados en formatos tabulares. Aceptación: respeta filtros, excluye PII/exactos públicos, devuelve un flujo temporal y registra la acción en Bitacora_Administrativa.","106","To Do","High","2","","dogalert","development","sprint-development-2","mvp","","Analytics","Jazmín / Paco","2026-09-19","2026-10-02","RF-041; RF-042; HU-12"
"242","Story","Exportar informe PDF e imagen del mapa","Como administrador quiero generar un informe legible y una imagen del mapa. Aceptación: incluyen fecha, filtros, advertencias y ubicación aproximada pública; se devuelven como flujo temporal y se auditan.","106","To Do","High","2","","dogalert","development","sprint-development-2","mvp","","Analytics","Paco / Jazmín","2026-09-19","2026-10-02","RF-041; RF-042; HU-12"
"243","Story","Exportar datos geográficos GeoJSON","Como administrador quiero obtener datos geográficos para análisis autorizado. Aceptación: valida rol y propósito, aproxima la variante pública, devuelve un flujo temporal y registra la acción en Bitacora_Administrativa.","106","To Do","Highest","3","","dogalert","development","sprint-development-2","mvp","","Data / MySQL","Jazmín / Eliab","2026-09-19","2026-10-02","RF-041; RF-042; HU-12"
"244","Task","Configurar HTTPS, JWT propio y secretos","Usar HTTPS de Cloud Run, implementar PasswordHasher y TokenService en Spring Boot, emitir JWT y guardar secretos fuera del repositorio. Aceptación: no se persisten contraseñas en texto plano y el repositorio no contiene secretos.","107","To Do","Highest","1","","dogalert","development","sprint-development-2","mvp","","Security","Isabella / Jazmín","2026-09-19","2026-10-02","RNF-SEG-01; RNF-SEG-02; RNF-SEG-08; HU-02"
"245","Task","Aplicar RBAC y cifrado en reposo","Proteger Cloud SQL, respaldos, Fotos, coordenadas y credenciales con privilegio mínimo. Aceptación: solo se guarda Contrasena_Hash y las rutas públicas nunca exponen fotos o coordenadas exactas.","107","To Do","Highest","1","","dogalert","development","sprint-development-2","mvp","","Security","Jazmín / Isabella","2026-09-19","2026-10-02","RNF-SEG-03; RNF-SEG-05; R04; R08"
"247","Task","Anonimizar PII tras 12 meses de inactividad","Anonimizar cuentas inactivas diariamente. Aceptación: no afecta cuentas activas, elimina PII, desvincula Registros y deja evidencia sin PII en Bitacora_Administrativa.","107","To Do","Highest","1","","dogalert","development","sprint-development-2","mvp","","Data / MySQL","Jazmín / Eliab","2026-09-19","2026-10-02","RF-045; RNF-PRI-05; HU-13"
"248","Task","Aplicar retención de reportes por cinco años","Conservar reportes no eliminados por el autor durante al menos cinco años desde el lanzamiento. Aceptación: no crea histórico previo y el borrado del autor elimina Registros y Fotos relacionados.","107","To Do","High","1","","dogalert","development","sprint-development-2","mvp","","Data / MySQL","Jazmín / Eliab","2026-09-19","2026-10-02","RF-044; RF-026; sección 1.5"
"250","Task","Configurar respaldos y probar restauración","Crear respaldos cifrados diarios con 30 días de retención. Aceptación: prueba documentada cumple RPO 24 h y RTO 8 h antes de la aceptación final.","107","To Do","Highest","1","","dogalert","development","sprint-development-2","mvp","","DevOps / Cloud","Isabella / Santiago","2026-09-19","2026-10-02","RNF-CON-02 a RNF-CON-04"
"252","Task","Ejecutar pruebas unitarias, integración y E2E","Cubrir validaciones, privacidad, filtros, duplicados y flujos principales. Aceptación: módulos críticos alcanzan 70 por ciento y cada prueba referencia RF, RNF o criterio.","108","To Do","Highest","2","","dogalert","testing","qa","mvp","","QA / Docs","Santiago / Equipo","2026-10-03","2026-10-09","Sección 8; RNF-MAN-03; RNF-MAN-04"
"253","Task","Validar seguridad, carga, rendimiento y usabilidad","Probar roles, sesiones, entradas, archivos y 100 solicitudes concurrentes. Aceptación: API p95 menor a 5 s, disponibilidad configurada a 99.5 por ciento y cero defectos críticos o altos abiertos.","108","To Do","Highest","2","","dogalert","testing","qa","mvp","","QA / Docs","Santiago / Jazmín","2026-10-03","2026-10-09","RNF-REN-01; RNF-REN-03; sección 8.2"
"259","Task","Integrar entregables, aceptación y liberar MVP","Resolver defectos críticos o altos, verificar Definition of Done y entregar. Aceptación: MVP funcional entregado a más tardar el 23 de octubre de 2026.","108","To Do","Highest","1","","dogalert","deployment","release","mvp","","QA / Docs","Equipo","2026-10-10","2026-10-23","D12; sección 8.3; hito 23/10/2026"
"260","Task","Ceremonia: Sprint Planning de desarrollo","Definir objetivo, capacidad, backlog seleccionado, responsables, dependencias y riesgos; adjuntar evidencia de la ceremonia.","","En curso","Highest","","","dogalert","scrum-ceremony","sprint-planning","development","","Gestión","Isabella","2026-09-06","2026-09-06","Evidencia académica de Scrum"
"261","Task","Ceremonia: Daily Stand-up con evidencia","Registrar al menos dos sesiones con fecha, asistentes, avances, siguiente trabajo, bloqueos, acuerdos y evidencia.","","To Do","High","","","dogalert","scrum-ceremony","stand-up","development","","Gestión","Isabella","2026-09-07","2026-10-02","Evidencia académica de Scrum"
